entertainment,city,postcode,housenumber,street,state,address2,longitude,latitude
Ocean Front Auditorium,Miami Beach,33139,,Ocean Drive,Florida,"Ocean Drive, Miami Beach, FL 33139, United States of America",-80.1305556,25.7797222
Lik Gallery,Miami Beach,33139,,Lincoln Road,Florida,"Lincoln Road, Miami Beach, FL 33139, United States of America",-80.135759,25.7907881
,Miami Beach,33139,,Lincoln Road,Florida,"Miami Beach, FL 33139, United States of America",-80.13521164683046,25.79058625
Lincoln Theatre-New World Symphony Building,Miami Beach,33139,,Lincoln Road,Florida,"Lincoln Road, Miami Beach, FL 33139, United States of America",-80.1341638,25.7907834
Coconut Grove Playhouse,Miami,33133,,Charles Avenue,Florida,"Charles Avenue, Miami, FL 33133, United States of America",-80.244975,25.7260174
Jackie Gleason Theater of the Performing Arts,Miami Beach,33139,,17th Street,Florida,"17th Street, Miami Beach, FL 33139, United States of America",-80.1336111,25.7925
The Fillmore Miami Beach at the Jackie Gleason Theater,Miami Beach,33139,1700,Washington Avenue,Florida,"1700 Washington Avenue, Miami Beach, FL 33139, United States of America",-80.13310698914648,25.7929298
Garden Center Conservatory,Miami Beach,33139,,Convention Center Drive,Florida,"Convention Center Drive, Miami Beach, FL 33139, United States of America",-80.1354817,25.7959275
Cuban Museum,,33134,,Giralda Avenue,Florida,"Giralda Avenue, Coral Gables, FL 33134, United States of America",-80.2591403,25.7511035
Coral Gables Art Cinema,,33134,260,Aragon Avenue,Florida,"260 Aragon Avenue, Coral Gables, FL 33134, United States of America",-80.25984155,25.750160649999998
Coral Gables Museum,,33134,,Aragon Avenue,Florida,"Aragon Avenue, Coral Gables, FL 33134, United States of America",-80.26040343008755,25.750745350000003
Actors' Playhouse at the Miracle Theatre,,33134,280,Miracle Mile,Florida,"280 Miracle Mile, Coral Gables, FL 33134, United States of America",-80.26035946454746,25.749245549999998
Anthony Liggins Gallery 88,Miami Beach,33139,237,20th Street,Florida,"237 20th Street, Miami Beach, FL 33139, United States of America",-80.1311454,25.7957246
Bass Museum of Art,Miami Beach,33139,2100,Collins Avenue,Florida,"2100 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1301530640578,25.7975852
Cinema 6,Miami,33126,,Northwest 7th Street,Florida,"Northwest 7th Street, Miami, FL 33126, United States of America",-80.264936,25.7792435
Landmark at Merrick Park,,33146,358,San Lorenzo Avenue,Florida,"358 San Lorenzo Avenue, Italian Village, FL 33146, United States of America",-80.2609066,25.7313883
Museum of ice cream,Miami Beach,33140,3420,Collins Avenue,Florida,"3420 Collins Avenue, Miami Beach, FL 33140, United States of America",-80.1238865,25.8088282
