Hotel Name,city,postcode,housenumber,street,state,address2,longitude,latitude
Claude Pepper,Miami,33136,750,Northwest 18th Terrace,Florida,"750 Northwest 18th Terrace, Miami, FL 33136, United States of America",-80.2088942,25.79293
家庭旅馆,Miami,33145,2345,Southwest 17th Street,Florida,"2345 Southwest 17th Street, Miami, FL 33145, United States of America",-80.2332972,25.7566184
San Juan Motel,Miami,33135,2390,Southwest 8th Street,Florida,"2390 Southwest 8th Street, Miami, FL 33135, United States of America",-80.23450781592695,25.765063750000003
Provident Luxury Suites Fisher Island,,33109,,Fisher Island Drive,Florida,"Fisher Island Drive, Miami-Dade County, FL 33109, United States of America",-80.14697531913794,25.7615585
Hyde Midtown Miami,Miami,33137,3401,Northeast 1st Avenue,Florida,"3401 Northeast 1st Avenue, Miami, FL 33137, United States of America",-80.19186556715147,25.80881755
AC Hotel by Marriott Miami Midtown,Miami,33137,,Northeast 34th Street,Florida,"Northeast 34th Street, Miami, FL 33137, United States of America",-80.18988829613559,25.808844399999998
Hampton Inn & Suites Miami Midtown,Miami,33137,,Northeast 35th Street,Florida,"Northeast 35th Street, Miami, FL 33137, United States of America",-80.19010944789773,25.809138400000002
Fisher Island Club,Miami Beach,33109,1,Fisher Island Drive,Florida,"1 Fisher Island Drive, Miami Beach, FL 33109, United States of America",-80.13887384847223,25.76341325
Wishes Biscayne Motel,Miami,33137,3530,Biscayne Boulevard,Florida,"3530 Biscayne Boulevard, Miami, FL 33137, United States of America",-80.18985771226828,25.80992415
Mondrian South Beach Hotel,Miami Beach,33139,1100,West Avenue,Florida,"1100 West Avenue, Miami Beach, FL 33139, United States of America",-80.14262880679192,25.7819228
Hampton,Miami,33133,2800,Southwest 28th Terrace,Florida,"2800 Southwest 28th Terrace, Miami, FL 33133, United States of America",-80.23929138969649,25.738528350000003
Julia Motel,Miami,33135,3040,West Flagler Street,Florida,"3040 West Flagler Street, Miami, FL 33135, United States of America",-80.2445479,25.7718511
"The Standard Spa, Miami Beach",Miami Beach,33139,40,Farrey Lane,Florida,"40 Farrey Lane, Miami Beach, FL 33139, United States of America",-80.14954565207384,25.79217905
Miami Hostel,Miami Beach,33139,810,Alton Road,Florida,"810 Alton Road, Miami Beach, FL 33139, United States of America",-80.1412259,25.778529
Miami Hostel,Miami Beach,33139,,Alton Road,Florida,"Alton Road, Miami Beach, FL 33139, United States of America",-80.1409328,25.7784802
casa tote,Miami,33137,,Northeast 7th Avenue,Florida,"Northeast 7th Avenue, Miami, FL 33137, United States of America",-80.1855465,25.8107604
,Miami,33127,,Northwest 36th Street,Florida,"Miami, FL 33127, United States of America",-80.2040771,25.8098428
Hardy Hotel Miami,Miami Beach,33139,,2nd Street,Florida,"2nd Street, Miami Beach, FL 33139, United States of America",-80.13787067516719,25.77088415
,Miami Beach,33139,,Lenox Avenue,Florida,"Miami Beach, FL 33139, United States of America",-80.1397178,25.7773648
Abae Hotel,Miami Beach,33139,1215,West Avenue,Florida,"1215 West Avenue, Miami Beach, FL 33139, United States of America",-80.14185809878379,25.7829578
Bikini Hostel,Miami Beach,33139,1247,West Avenue,Florida,"1247 West Avenue, Miami Beach, FL 33139, United States of America",-80.14187327423447,25.7835849
Courtyard by Marriott Miami Coconut Grove,Miami,33133,,Darwin Street,Florida,"Darwin Street, Miami, FL 33133, United States of America",-80.23600449100624,25.7314693
The Dexter,Miami Beach,33139,,Jefferson Avenue,Florida,"Jefferson Avenue, Miami Beach, FL 33139, United States of America",-80.1373269,25.77289245
Delfino Suites South Beach,Miami Beach,33139,1321,15th Street,Florida,"1321 15th Street, Miami Beach, FL 33139, United States of America",-80.14288215023637,25.78761785
Hugo,Miami Beach,33139,13,15th Street,Florida,"13 15th Street, Miami Beach, FL 33139, United States of America",-80.1427214,25.7874056
Urbanica The Meridian Hotel,Miami Beach,33139,426;418,Meridian Avenue,Florida,"426;418 Meridian Avenue, Miami Beach, FL 33139, United States of America",-80.13617971845687,25.774099399999997
Mare Azur Design District Luxury Apartments,Miami,33137,3880,Northeast 6th Avenue,Florida,"3880 Northeast 6th Avenue, Miami, FL 33137, United States of America",-80.18686550094996,25.8131245
,Miami Beach,33139,,2nd Street,Florida,"Miami Beach, FL 33139, United States of America",-80.1357974,25.77128205
,Miami Beach,33139,735,2nd Street,Florida,"Miami Beach, FL 33139, United States of America",-80.13568674922567,25.7712862
Villazzo,Miami Beach,33109,,Collins Court,Florida,"Collins Court, Miami Beach, FL 33109, United States of America",-80.13501617323512,25.76905815
,Miami Beach,33139,,2nd Street,Florida,"Miami Beach, FL 33139, United States of America",-80.13558032458792,25.77128285
"The Ritz-Carlton Coconut Grove, Miami",Miami,33133,,Cornelia Drive,Florida,"Cornelia Drive, Miami, FL 33133, United States of America",-80.2382117989562,25.730309249999998
,Miami Beach,33139,,2nd Street,Florida,"Miami Beach, FL 33139, United States of America",-80.13547085,25.77129145
Crates at the Gaythering,Miami Beach,33139,1409,Lincoln Road,Florida,"1409 Lincoln Road, Miami Beach, FL 33139, United States of America",-80.14393502462919,25.790607700000002
Residence Inn by Marriott Miami Coconut Grove 3,Miami,33133,2835,Tigertail Avenue,Florida,"2835 Tigertail Avenue, Miami, FL 33133, United States of America",-80.23844069412748,25.731137
