name,city,postcode,street,address2,Transport_Type,Transport,Route,longitude,latitude
Northeast 1st Street & Northeast 1st Avenue,Miami,33132,Northeast 1st Street,"Northeast 1st Street, Miami, FL 33132, United States of America",Broward County Transit;City of Miami;Miami-Dade Transit,bus_stop,NE 1st St & NE 1st Av,-80.1923934,25.7752113
Southwest 3rd Avenue & Southwest 23rd Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami,bus_stop,SW 3rd Av & SW 23rd Rd,-80.2059287,25.7571421
Northwest 1st Street & North Miami Avenue,Miami,33131,Northwest 1st Street,"Northwest 1st Street, Miami, FL 33131, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,NW 1st St & N Miami Av,-80.1939775,25.7751538
Southwest 3rd Avenue & Southwest 24th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 3rd Av & SW 24th Rd,-80.206052,25.756697
Southwest 7th Street & Southwest 7th Avenue,Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 7th Av,-80.2060985,25.7670653
Northwest 1st Avenue & Northwest 1st Street,Miami,33128,Northwest 1st Avenue,"Northwest 1st Avenue, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 1st Av & NW 1st St,-80.1953673,25.7754909
Stephen P. Clark Center,Miami,33128,Northwest 1st Street,"Northwest 1st Street, Miami, FL 33128, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Stephen P. Clark Center,-80.1972559,25.7750739
Stephen P. Clark Center,Miami,33128,Northwest 1st Street,"Northwest 1st Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,Stephen P. Clark Center,-80.1974259,25.7750724
Brickell Avenue & Southeast 25th Road,Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,Brickell Av & SE 25th Rd,-80.202725,25.7513253
Brickell Avenue & Southeast 25th Road,Miami,33129,Brickell Avenue,"Brickell Avenue, Miami, FL 33129, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Brickell Av & SE 25th Rd,-80.2026613,25.7510451
Northeast 1st Avenue & Northeast 2nd Street,Miami,33132,Northeast 1st Avenue,"Northeast 1st Avenue, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,NE 1st Av & NE 2nd St,-80.1919536,25.7764347
Southwest 7th Street & Southwest 8th Avenue,Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 8th Av,-80.2072126,25.7670369
Southwest 8th Street & Southwest 8th Avenue,Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 8th Av,-80.2076519,25.7659113
Southwest 3rd Avenue & Southwest 25th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",Miami-Dade Transit,bus_stop,SW 3rd Av & SW 25th Rd,-80.2075928,25.7559957
Biscayne Boulevard & Northeast 2nd Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Biscayne Bd & NE 2nd St,-80.1875155,25.7766059
Northeast 3rd Street & Northeast 2nd Avenue,Miami,33132,Northeast 3rd Street,"Northeast 3rd Street, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,NE 3rd St & NE 2nd Av,-80.1899781,25.7772203
Northwest 2nd Avenue & Northwest 2nd Street,Miami,33128,Northwest 2nd Avenue,"Northwest 2nd Avenue, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 2nd Av & NW 2nd St,-80.1977261,25.7763764
Northwest 2nd Avenue & Northwest 2nd Street,Miami,33128,Northwest 2nd Avenue,"Northwest 2nd Avenue, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 2nd Av & NW 2nd St,-80.1978728,25.7764005
Rickenbacker Causeway & Hobie Cat Beach,Miami,33129,Rickenbacker Causeway,"Rickenbacker Causeway, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,Rickenbacker Cy & Hobie Cat Beach,-80.1951608,25.7461632
Northwest 3rd Street & Northwest 2nd Avenue,Miami,33128,Northwest 3rd Street,"Northwest 3rd Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 3rd St & NW 2nd Av,-80.1969522,25.7768846
Northeast 1st Avenue & Northeast 4th Street,Miami,33132,Northeast 1st Avenue,"Northeast 1st Avenue, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,NE 1st Av & NE 4th St,-80.1919274,25.7777059
Rickenbacker Causeway & Restrooms,Miami,33129,Rickenbacker Trail,"Rickenbacker Trail, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,Rickenbacker Cy & Restrooms,-80.1941925,25.7458298
Southwest 8th Street & Southwest 9th Avenue,Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 9th Av,-80.2090301,25.7658745
Biscayne Boulevard & Northeast 3rd Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Biscayne Bd & NE 3rd St,-80.1884913,25.7775933
Northeast 2nd Avenue & Northeast 4th Street,Miami,33137,Northeast 2nd Avenue,"Northeast 2nd Avenue, Miami, FL 33137, United States of America",City of Miami;Miami-Dade Transit,bus_stop,NE 2nd Av & NE 4th St,-80.1904861,25.7778606
North Miami Avenue & North 4th Street,Miami,33132,North Miami Avenue,"North Miami Avenue, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,N Miami Av & N 4th St,-80.1938142,25.7778056
Southwest 3rd Avenue & Southwest 26th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 3rd Av & SW 26th Rd,-80.2083322,25.7551266
Southwest 3rd Avenue & Southwest 26th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 3rd Av & SW 26th Rd,-80.208535,25.7553488
West Flagler Street & Northwest 6th Avenue,Miami,33128,West Flagler Street,"West Flagler Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & NW 6th Av,-80.2040293,25.7739733
Northwest 1st Avenue & Northwest 4th Street,Miami,33128,Northwest 1st Avenue,"Northwest 1st Avenue, Miami, FL 33128, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,NW 1st Av & NW 4th St,-80.195394,25.7780139
Rickenbacker Causeway & Hobie Cat Beach,Miami,33129,Rickenbacker Trail,"Rickenbacker Trail, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,Rickenbacker Cy & Hobie Cat Beach,-80.1973857,25.7458431
Biscayne Boulevard & Northeast 4th Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",City of Miami;Miami-Dade Transit,bus_stop,Biscayne Bd & NE 4th St,-80.1878948,25.777971
Southwest 7th Street & Southwest 9th Avenue,Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 9th Av,-80.2093028,25.7669695
Northwest 2nd Avenue & Northwest 3rd Street,Miami,33128,Northwest 2nd Avenue,"Northwest 2nd Avenue, Miami, FL 33128, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,NW 2nd Av & NW 3rd St,-80.1977502,25.7776062
Northwest 2nd Avenue & Northwest 4th Street,Miami,33128,Northwest 2nd Avenue,"Northwest 2nd Avenue, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 2nd Av & NW 4th St,-80.197975,25.7780004
Biscayne Boulevard & Northeast 5th Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Biscayne Bd & NE 5th St,-80.1888633,25.7788402
Northeast 2nd Avenue & Northeast 5th Street,Miami,33132,Northeast 5th Street,"Northeast 5th Street, Miami, FL 33132, United States of America",City of Miami;Miami-Dade Transit,bus_stop,NE 2nd Av & NE 5th St,-80.1905301,25.7791728
West Flagler Street & Northwest 7th Avenue,Miami,33128,West Flagler Street,"West Flagler Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & NW 7th Av,-80.2059067,25.7738543
Northwest 5th Street & Northwest 2nd Avenue,Miami,33128,Northwest 5th Street,"Northwest 5th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 5th St & NW 2nd Av,-80.1973726,25.7787609
Southwest 3rd Avenue & Southwest 28th Road,Miami,33145,Southwest 3rd Avenue,"Southwest 3rd Avenue, Miami, FL 33145, United States of America",City of Miami,bus_stop,SW 3rd Av & SW 28th Rd,-80.2096812,25.7542026
Southwest 1st Street & Southwest 8th Avenue,Miami,33128,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,SW 1st St & SW 8th Av,-80.2074624,25.7726885
Southwest 8th Street & Southwest 10th Avenue,Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 10th Av,-80.2112448,25.7658664
Northeast 1st Avenue & Northeast 6th Street,Miami,33132,Northeast 1st Avenue,"Northeast 1st Avenue, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,NE 1st Av & NE 6th St,-80.1920726,25.7797999
